gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6520738729	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396990297	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates catesbeianus		SPECIES	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.902551	-68.660278	5.0						2026-05-20T18:08:14	20	5	2026	VJF78	VJF78	HUMAN_OBSERVATION	iNaturalist	Observations	396990297		Chickadee	2026-09-03T19:12:24	CC_BY_NC_4_0	Chickadee	Chickadee			2026-09-11T05:24:30.468Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520735611	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396722148	Animalia	Chordata	Amphibia	Anura	Ranidae	Aquarana	Aquarana clamitans		SPECIES	Lithobates clamitans (Latreille, 1801)	Lithobates clamitans		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.735713	-69.649014	10.0						2026-09-02T12:05	2	9	2026	3VHPW	LN27Y	HUMAN_OBSERVATION	iNaturalist	Observations	396722148		Noah Nadeau	2026-09-02T18:31:40	CC_BY_NC_4_0	Noah Nadeau	Noah Nadeau			2026-09-11T05:38:22.622Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520729466	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/397534722	Animalia	Chordata	Amphibia	Anura	Ranidae	Boreorana	Boreorana sylvatica		SPECIES	Lithobates sylvaticus (LeConte, 1825)	Lithobates sylvaticus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.798325	-69.889241	10236.0						2026-09-05T12:14:18	5	9	2026	3VHQZ	V57HH	HUMAN_OBSERVATION	iNaturalist	Observations	397534722		Charlotte	2026-09-05T19:23:56	CC_BY_NC_4_0	Charlotte	Charlotte			2026-09-11T05:25:44.717Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520721493	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/395287836	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates palustris		SPECIES	Lithobates palustris (LeConte, 1825)	Lithobates palustris		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.860466	-68.636788	112.0						2022-05-29T16:06:26	29	5	2022	3VHQN	3VHQN	HUMAN_OBSERVATION	iNaturalist	Observations	395287836		birdie111	2026-08-28T19:26:37	CC_BY_NC_4_0	birdie111	birdie111			2026-09-11T05:24:26.003Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520718655	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396913055	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates pipiens		SPECIES	Lithobates pipiens (Schreber, 1782)	Lithobates pipiens		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.990948	-68.788851	1187.0						2026-09-01T13:27:17	1	9	2026	3VHQP	3VHQP	HUMAN_OBSERVATION	iNaturalist	Observations	396913055		Wynn Warren	2026-09-03T13:53:41	CC_BY_NC_4_0	Wynn Warren	Wynn Warren			2026-09-11T06:08:00.076Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520714657	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/395396032	Animalia	Chordata	Amphibia	Anura	Hylidae	Dryophytes	Dryophytes versicolor		SPECIES	Dryophytes versicolor (LeConte, 1825)	Dryophytes versicolor		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.61565	-68.773346	27285.0						2026-08-26T19:32:49	26	8	2026	37VNR	37VNR	HUMAN_OBSERVATION	iNaturalist	Observations	395396032		Mike Baker	2026-08-29T04:15:02	CC_BY_NC_4_0	Mike Baker	Mike Baker			2026-09-11T05:25:26.596Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520702458	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/394388298	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	Pseudacris crucifer		SPECIES	Pseudacris crucifer (Wied-Neuwied, 1838)	Pseudacris crucifer		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.788417	-68.704049	27285.0						2026-08-22T22:38:20	22	8	2026	4NH9F	4NH9F	HUMAN_OBSERVATION	iNaturalist	Observations	394388298		Mike Baker	2026-08-25T13:04:38	CC_BY_NC_4_0	Mike Baker	Mike Baker			2026-09-11T05:41:07.007Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520700408	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/395970043	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates palustris		SPECIES	Lithobates palustris (LeConte, 1825)	Lithobates palustris		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.361917	-69.865662	4.0						2026-08-30T15:30:47	30	8	2026	3VHQN	3VHQN	HUMAN_OBSERVATION	iNaturalist	Observations	395970043		kmaybay	2026-08-30T23:30:18	CC_BY_NC_4_0	kmaybay	kmaybay			2026-09-11T05:25:22.790Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520678362	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396826512	Animalia	Chordata	Amphibia	Anura	Hylidae	Dryophytes	Dryophytes versicolor		SPECIES	Dryophytes versicolor (LeConte, 1825)	Dryophytes versicolor		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.611887	-68.720969	27285.0						2026-08-29T21:04:03	29	8	2026	37VNR	37VNR	HUMAN_OBSERVATION	iNaturalist	Observations	396826512		Mike Baker	2026-09-03T03:05:41	CC_BY_NC_4_0	Mike Baker	Mike Baker			2026-09-11T06:05:03.950Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520670325	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/397960416	Animalia	Chordata	Amphibia	Anura	Ranidae	Boreorana	Boreorana sylvatica		SPECIES	Lithobates sylvaticus (LeConte, 1825)	Lithobates sylvaticus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.454942	-70.411203	4.0						2025-09-26T11:24:45	26	9	2025	3VHQZ	V57HH	HUMAN_OBSERVATION	iNaturalist	Observations	397960416		Siler Russ	2026-09-07T00:37:11	CC_BY_NC_4_0	katiec571	katiec571			2026-09-11T05:38:22.154Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520667379	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/395534813	Animalia	Chordata	Amphibia	Anura	Bufonidae	Anaxyrus	Anaxyrus americanus		SPECIES	Anaxyrus americanus (Holbrook, 1836)	Anaxyrus americanus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.203264	-69.794576	300.0						2026-08-29T13:07:24	29	8	2026	66LTT	66LTT	HUMAN_OBSERVATION	iNaturalist	Observations	395534813		Jeff Parmelee	2026-08-29T17:08:20	CC_BY_NC_4_0	Jeff Parmelee	Jeff Parmelee			2026-09-11T05:38:24.965Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520663387	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/391914852	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates palustris		SPECIES	Lithobates palustris (LeConte, 1825)	Lithobates palustris		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.815353	-69.811887	13.0						2026-08-16T16:41:37	16	8	2026	3VHQN	3VHQN	HUMAN_OBSERVATION	iNaturalist	Observations	391914852		Nate N.	2026-08-23T05:04:34	CC_BY_NC_4_0	craigjb	craigjb			2026-09-11T05:25:19.544Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520635193	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/395375299	Animalia	Chordata	Amphibia	Anura	Ranidae	Boreorana	Boreorana sylvatica		SPECIES	Lithobates sylvaticus (LeConte, 1825)	Lithobates sylvaticus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.954013	-70.389796	27411.0						2026-08-25T15:58:22	25	8	2026	3VHQZ	V57HH	HUMAN_OBSERVATION	iNaturalist	Observations	395375299		random-charm	2026-08-29T02:18:31	CC_BY_NC_4_0	random-charm	random-charm			2026-09-11T06:07:59.760Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520635129	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396813280	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates pipiens		SPECIES	Lithobates pipiens (Schreber, 1782)	Lithobates pipiens		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.222778	-67.845134	15072.0						2026-09-02T18:40:43	2	9	2026	3VHQP	3VHQP	HUMAN_OBSERVATION	iNaturalist	Observations	396813280		thedudeadapts	2026-09-03T01:50:16	CC_BY_NC_4_0	thedudeadapts	thedudeadapts			2026-09-11T05:24:26.925Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520623627	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396284113	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates catesbeianus		SPECIES	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.295458	-68.248452	180.0						2023-08-06T13:48	6	8	2023	VJF78	VJF78	HUMAN_OBSERVATION	iNaturalist	Observations	396284113		E. Jones	2026-09-01T02:43:55	CC_BY_NC_4_0	E. Jones	E. Jones			2026-09-11T05:59:37.108Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520620737	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396863243	Animalia	Chordata	Amphibia	Anura	Hylidae	Pseudacris	Pseudacris crucifer		SPECIES	Pseudacris crucifer (Wied-Neuwied, 1838)	Pseudacris crucifer		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.272807	-70.85036	12.0						2026-09-03T04:05:28	3	9	2026	4NH9F	4NH9F	HUMAN_OBSERVATION	iNaturalist	Observations	396863243		kkh1	2026-09-03T08:06:42	CC_BY_NC_4_0	kkh1	kkh1			2026-09-11T05:59:28.277Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520617346	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396721905	Animalia	Chordata	Amphibia	Caudata	Plethodontidae	Plethodon	Plethodon cinereus		SPECIES	Plethodon cinereus (Green, 1818)	Plethodon cinereus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.99431	-70.456871	370.0						2026-09-02T09:27:43	2	9	2026	6W283	6W283	HUMAN_OBSERVATION	iNaturalist	Observations	396721905		Emily	2026-09-02T18:30:52	CC_BY_NC_4_0	Emily	Emily			2026-09-11T06:05:45.508Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520610648	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/394813969	Animalia	Chordata	Amphibia	Anura	Ranidae	Aquarana	Aquarana clamitans		SPECIES	Lithobates clamitans (Latreille, 1801)	Lithobates clamitans		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	43.934882	-70.399019							2026-08-26T09:30	26	8	2026	3VHPW	LN27Y	HUMAN_OBSERVATION	iNaturalist	Observations	394813969		Rita Clare	2026-08-26T23:27:22	CC_BY_4_0	Rita Clare	Rita Clare			2026-09-11T05:40:47.686Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520605074	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/385231021	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates catesbeianus		SPECIES	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	46.75635	-68.490129	8.0						2026-07-25T13:30:19	25	7	2026	VJF78	VJF78	HUMAN_OBSERVATION	iNaturalist	Observations	385231021		Nate N.	2026-07-26T14:10:33	CC_BY_NC_4_0	tinasturgeon110	tinasturgeon110			2026-09-11T05:59:44.676Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520602238	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/394781012	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates catesbeianus		SPECIES	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.340263	-68.259033							2026-08-26T10:44:11	26	8	2026	VJF78	VJF78	HUMAN_OBSERVATION	iNaturalist	Observations	394781012		Hayden Shepley	2026-08-26T21:02:08	CC_BY_NC_4_0	Hayden Shepley	Hayden Shepley			2026-09-11T05:49:51.229Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520600859	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/395705664	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates catesbeianus		SPECIES	Lithobates catesbeianus (Shaw, 1802)	Lithobates catesbeianus		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.394788	-68.249778	4.0						2026-08-25T12:32:03	25	8	2026	VJF78	VJF78	HUMAN_OBSERVATION	iNaturalist	Observations	395705664		Linna Morrison	2026-08-30T03:58:13	CC_BY_NC_4_0	Linna Morrison	Linna Morrison			2026-09-11T06:07:56.642Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6520600766	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/396723306	Animalia	Chordata	Amphibia	Anura	Ranidae	Lithobates	Lithobates palustris		SPECIES	Lithobates palustris (LeConte, 1825)	Lithobates palustris		US		Maine	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	44.735352	-69.646149							2026-09-02T12:36	2	9	2026	3VHQN	3VHQN	HUMAN_OBSERVATION	iNaturalist	Observations	396723306		Noah Nadeau	2026-09-02T18:36:26	CC_BY_NC_4_0	Noah Nadeau	Noah Nadeau			2026-09-11T05:59:41.606Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
