gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
6480631394	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/388992628	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha pseudoalluaudi		SPECIES	Langaha pseudoalluaudi Domergue, 1988	Langaha pseudoalluaudi		MG		Mahajanga	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-15.487104	46.647066	85.0						2018-07-02T14:35	2	7	2018	6NWZ4	6NWZ4	HUMAN_OBSERVATION	iNaturalist	Observations	388992628		Fionn Ó Marcaigh	2026-08-07T10:43:52	CC0_1_0	Fionn Ó Marcaigh	Fionn Ó Marcaigh			2026-09-11T06:15:32.022Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6480068948	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/307416317	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Toamasina	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-17.800565	48.799507							2024-10-24T09:52	24	10	2024	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	307416317		Nathalie Jreidini	2025-08-19T01:53:20	CC_BY_NC_4_0	Nathalie Jreidini	Nathalie Jreidini			2026-09-11T06:05:41.617Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6431436926	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/377938430	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Antsiranana	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-15.704636	49.885004	30870.0						2019-08-11T17:41:09	11	8	2019	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	377938430		Leonard Spohr	2026-07-04T03:53:38	CC_BY_4_0	Leonard Spohr	Leonard Spohr			2026-09-11T05:59:03.393Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6400873326	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/370606880	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Mahajanga	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-19.139489	44.811955							2026-06-11T11:29:32	11	6	2026	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	370606880		naturalistchu	2026-06-11T12:38:48	CC_BY_NC_4_0	naturalistchu	naturalistchu			2026-09-11T05:49:05.511Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6399836759	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/370105301	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Toamasina	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.599154	49.208611	638.0						2024-05-08T21:45	8	5	2024	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	370105301		ns777	2026-06-09T18:48:27	CC_BY_NC_4_0	ns777	ns777			2026-09-11T05:37:18.252Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6398890461	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/370625074	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Mahajanga	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-19.139483	44.81235	2.0						2026-06-11T11:20:09	11	6	2026	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	370625074		jsulan	2026-06-11T14:02:26	CC_BY_NC_4_0	jsulan	jsulan			2026-09-11T06:07:43.505Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6190549921	d8cd16ba-bb74-4420-821e-083f2bac17c2	LC640438	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis					PRESENT		ada9d123-ddb4-467d-8891-806ea8d94230													6NWZ9	6NWZ9	PRESERVED_SPECIMEN			ZSM:567/2001				CC_BY_4_0					2026-09-14T11:55:19.516Z		TAXON_ID_NOT_FOUND;TAXON_CONCEPT_ID_NOT_FOUND
6179385212	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/342383109	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Antsiranana	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-12.974682	49.714605	31.0						2017-10-21T15:47	21	10	2017	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	342383109		Andrianiaina Angelo	2026-03-11T06:15:24	CC_BY_NC_4_0	Andrianiaina Angelo	Andrianiaina Angelo			2026-09-11T05:22:44.811Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6179364923	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/342782642	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Toamasina	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.627254	49.205436	350.0						2026-03-08T19:56	8	3	2026	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	342782642		Bobby Bok	2026-03-13T19:23:24	CC_BY_NC_4_0	Bobby Bok	Bobby Bok			2026-09-11T06:14:12.962Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6179345697	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/341885340	Animalia	Chordata	Reptilia	Squamata	Pseudoxyrhophiidae	Langaha	Langaha madagascariensis		SPECIES	Langaha madagascariensis Bonaterre, 1790	Langaha madagascariensis		MG		Toamasina	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-18.679154	49.215714	30632.0						2025-12-02T08:26	2	12	2025	6NWZ9	6NWZ9	HUMAN_OBSERVATION	iNaturalist	Observations	341885340		calfirecap	2026-03-08T15:05:06	CC_BY_NC_4_0	calfirecap	calfirecap			2026-09-11T05:36:23.053Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
